,Comp_Sent,Count,Nege_Sent,Nuet_Sent,Posi_Sent,Time,Tweeter
0,0.0,1,0.0,1.0,0.0,2018-03-22 23:00:58+00:00,@CNBC
1,-0.5809,2,0.321,0.546,0.134,2018-03-22 22:57:28+00:00,@CNBC
2,0.0,3,0.0,1.0,0.0,2018-03-22 22:49:28+00:00,@CNBC
3,-0.1027,4,0.113,0.887,0.0,2018-03-22 22:49:11+00:00,@CNBC
4,0.4404,5,0.0,0.791,0.209,2018-03-22 22:43:02+00:00,@CNBC
5,0.34,6,0.0,0.844,0.156,2018-03-22 22:30:02+00:00,@CNBC
6,-0.34,7,0.179,0.821,0.0,2018-03-22 22:28:34+00:00,@CNBC
7,-0.34,8,0.179,0.821,0.0,2018-03-22 22:27:09+00:00,@CNBC
8,0.0,9,0.0,1.0,0.0,2018-03-22 22:20:33+00:00,@CNBC
9,0.0,10,0.0,1.0,0.0,2018-03-22 22:15:00+00:00,@CNBC
10,-0.3182,11,0.309,0.514,0.177,2018-03-22 22:11:50+00:00,@CNBC
11,0.0,12,0.0,1.0,0.0,2018-03-22 22:07:07+00:00,@CNBC
12,0.1779,13,0.0,0.892,0.108,2018-03-22 22:07:07+00:00,@CNBC
13,0.7456,14,0.0,0.672,0.328,2018-03-22 22:06:01+00:00,@CNBC
14,0.8135,15,0.065,0.53,0.405,2018-03-22 22:04:48+00:00,@CNBC
15,0.4019,16,0.0,0.787,0.213,2018-03-22 21:55:23+00:00,@CNBC
16,-0.1027,17,0.097,0.903,0.0,2018-03-22 21:54:04+00:00,@CNBC
17,-0.6249,18,0.194,0.806,0.0,2018-03-22 21:52:09+00:00,@CNBC
18,0.0,19,0.0,1.0,0.0,2018-03-22 21:51:14+00:00,@CNBC
19,0.0,20,0.0,1.0,0.0,2018-03-22 21:45:59+00:00,@CNBC
20,0.0,21,0.0,1.0,0.0,2018-03-22 21:44:30+00:00,@CNBC
21,0.0,22,0.0,1.0,0.0,2018-03-22 21:42:13+00:00,@CNBC
22,0.0,23,0.0,1.0,0.0,2018-03-22 21:35:51+00:00,@CNBC
23,0.4019,24,0.0,0.787,0.213,2018-03-22 21:35:03+00:00,@CNBC
24,-0.2924,25,0.261,0.739,0.0,2018-03-22 21:32:06+00:00,@CNBC
25,-0.7579,26,0.317,0.683,0.0,2018-03-22 21:24:50+00:00,@CNBC
26,-0.128,27,0.103,0.897,0.0,2018-03-22 21:20:06+00:00,@CNBC
27,-0.8225,28,0.462,0.538,0.0,2018-03-22 21:18:14+00:00,@CNBC
28,-0.6808,29,0.195,0.805,0.0,2018-03-22 21:15:00+00:00,@CNBC
29,-0.1531,30,0.118,0.882,0.0,2018-03-22 21:13:38+00:00,@CNBC
30,0.4019,31,0.0,0.816,0.184,2018-03-22 21:10:28+00:00,@CNBC
31,-0.4404,32,0.182,0.818,0.0,2018-03-22 21:03:33+00:00,@CNBC
32,0.296,33,0.0,0.855,0.145,2018-03-22 20:54:56+00:00,@CNBC
33,-0.4404,34,0.225,0.775,0.0,2018-03-22 20:51:14+00:00,@CNBC
34,0.296,35,0.0,0.845,0.155,2018-03-22 20:47:29+00:00,@CNBC
35,0.296,36,0.078,0.778,0.144,2018-03-22 20:47:05+00:00,@CNBC
36,-0.4902,37,0.166,0.834,0.0,2018-03-22 20:42:58+00:00,@CNBC
37,-0.5859,38,0.171,0.758,0.07,2018-03-22 20:41:00+00:00,@CNBC
38,0.25,39,0.143,0.649,0.208,2018-03-22 20:40:55+00:00,@CNBC
39,0.0,40,0.0,1.0,0.0,2018-03-22 20:40:00+00:00,@CNBC
40,0.0,41,0.0,1.0,0.0,2018-03-22 20:39:02+00:00,@CNBC
41,0.0,42,0.0,1.0,0.0,2018-03-22 20:36:17+00:00,@CNBC
42,0.0,43,0.0,1.0,0.0,2018-03-22 20:36:07+00:00,@CNBC
43,-0.5574,44,0.286,0.714,0.0,2018-03-22 20:32:03+00:00,@CNBC
44,0.5106,45,0.0,0.864,0.136,2018-03-22 20:31:16+00:00,@CNBC
45,0.0,46,0.0,1.0,0.0,2018-03-22 20:27:03+00:00,@CNBC
46,0.7774,47,0.0,0.73,0.27,2018-03-22 20:26:13+00:00,@CNBC
47,-0.7579,48,0.419,0.581,0.0,2018-03-22 20:22:14+00:00,@CNBC
48,-0.1513,49,0.074,0.926,0.0,2018-03-22 20:21:35+00:00,@CNBC
49,-0.34,50,0.103,0.897,0.0,2018-03-22 20:19:07+00:00,@CNBC
50,0.128,51,0.0,0.927,0.073,2018-03-22 20:18:07+00:00,@CNBC
51,0.0,52,0.0,1.0,0.0,2018-03-22 20:18:02+00:00,@CNBC
52,-0.4767,53,0.249,0.66,0.091,2018-03-22 20:17:06+00:00,@CNBC
53,-0.4404,54,0.182,0.818,0.0,2018-03-22 20:16:04+00:00,@CNBC
54,0.0,55,0.0,1.0,0.0,2018-03-22 20:16:04+00:00,@CNBC
55,-0.5106,56,0.121,0.879,0.0,2018-03-22 20:04:27+00:00,@CNBC
56,0.0,57,0.0,1.0,0.0,2018-03-22 20:04:02+00:00,@CNBC
57,0.0,58,0.0,1.0,0.0,2018-03-22 20:02:06+00:00,@CNBC
58,-0.1531,59,0.074,0.926,0.0,2018-03-22 19:55:15+00:00,@CNBC
59,0.0,60,0.0,1.0,0.0,2018-03-22 19:55:00+00:00,@CNBC
60,-0.6065,61,0.292,0.708,0.0,2018-03-22 19:54:02+00:00,@CNBC
61,0.0,62,0.0,1.0,0.0,2018-03-22 19:47:47+00:00,@CNBC
62,0.0,63,0.0,1.0,0.0,2018-03-22 19:46:29+00:00,@CNBC
63,0.0,64,0.0,1.0,0.0,2018-03-22 19:35:22+00:00,@CNBC
64,0.5859,65,0.0,0.758,0.242,2018-03-22 19:34:35+00:00,@CNBC
65,0.0,66,0.0,1.0,0.0,2018-03-22 19:33:06+00:00,@CNBC
66,-0.128,67,0.168,0.694,0.139,2018-03-22 19:33:04+00:00,@CNBC
67,0.4215,68,0.0,0.741,0.259,2018-03-22 19:30:20+00:00,@CNBC
68,0.128,69,0.0,0.919,0.081,2018-03-22 19:30:00+00:00,@CNBC
69,-0.2484,70,0.178,0.693,0.129,2018-03-22 19:23:54+00:00,@CNBC
70,0.0,71,0.0,1.0,0.0,2018-03-22 19:21:13+00:00,@CNBC
71,0.0,72,0.0,1.0,0.0,2018-03-22 19:17:02+00:00,@CNBC
72,-0.7906,73,0.381,0.619,0.0,2018-03-22 19:11:53+00:00,@CNBC
73,-0.4404,74,0.172,0.828,0.0,2018-03-22 19:07:58+00:00,@CNBC
74,-0.2411,75,0.094,0.906,0.0,2018-03-22 19:04:18+00:00,@CNBC
75,0.0,76,0.0,1.0,0.0,2018-03-22 19:03:06+00:00,@CNBC
76,-0.6486,77,0.29,0.71,0.0,2018-03-22 19:01:12+00:00,@CNBC
77,0.0,78,0.0,1.0,0.0,2018-03-22 19:00:02+00:00,@CNBC
78,0.0,79,0.0,1.0,0.0,2018-03-22 18:59:10+00:00,@CNBC
79,0.0,80,0.0,1.0,0.0,2018-03-22 18:54:44+00:00,@CNBC
80,-0.872,81,0.343,0.657,0.0,2018-03-22 18:54:01+00:00,@CNBC
81,0.0,82,0.0,1.0,0.0,2018-03-22 18:49:54+00:00,@CNBC
82,0.1779,83,0.0,0.892,0.108,2018-03-22 18:38:56+00:00,@CNBC
83,0.0,84,0.0,1.0,0.0,2018-03-22 18:33:46+00:00,@CNBC
84,0.0,85,0.0,1.0,0.0,2018-03-22 18:09:40+00:00,@CNBC
85,0.0,86,0.0,1.0,0.0,2018-03-22 18:07:28+00:00,@CNBC
86,0.296,87,0.112,0.706,0.182,2018-03-22 18:05:44+00:00,@CNBC
87,0.2732,88,0.0,0.89,0.11,2018-03-22 18:02:04+00:00,@CNBC
88,0.0,89,0.0,1.0,0.0,2018-03-22 18:00:02+00:00,@CNBC
89,0.4404,90,0.0,0.791,0.209,2018-03-22 17:48:03+00:00,@CNBC
90,0.0,91,0.0,1.0,0.0,2018-03-22 17:41:21+00:00,@CNBC
